Mod,WR (Main cat.),WR for,Runners,Difficulty,Optimization,Guides,Segmented/TAS,Extra,RTSL,ModDB,Steam,HL1 mov,Tags,,,,,,,,,,,,,WR for
Ravenholm: The Lost Chapter,1:58.605 / Lyren,326 days,1,★★★☆☆,☆☆☆☆☆,-,k80may's 2:09,-,✓,🞪,🞪,?,,,,,,,,,,,,,,1862 
Rebel Surge,3:57.33 / Lyren,91 days,1,★☆☆☆☆,☆☆☆☆☆,-,-,-,,,,?,,,,,,,,,,,,,,
Research and Development,15:49 / Lyren,115 days,3,☆☆☆☆☆,☆☆☆☆☆,-,SourceRuns 17:13 / 7:22,-,✓,✓,🞪,?,"Propclip, state preserve (timescale)",,,,,,,,,,,,,
RunThinkShootLiveVille,20:52 / Lyren,1862 days,2,★★★☆☆,★☆☆☆☆,-,-,-,✓,🞪,🞪,?,?,,,,,,,,,,,,,1369 
RunThinkShootLiveVille 2,56:32 / owerfloww,99 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,Search and Rescue in 40.60 (HL2 Mod) - YouTube Ultracold in 5:03.12 (HL2 Mod) - YouTube,✓,✓,🞪,?,Long,,,,,,,,,,,,,
School Adventures,6:56.450 / PenPerson,1369 days,3,★★☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,?,,,,,,,,,,,,,763 
Sebastian,6:16.20 / Lyren,763 days,2,★☆☆☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,✓,,,,,,,,,,,,,,552 
Sewer Sickness,2:41.730 / Lyren,552 days,1,★☆☆☆☆,★☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
Simple Etape,19.155 / PenPerson,172 days,1,★☆☆☆☆,★☆☆☆☆,-,-,-,✓,🞪,🞪,?,Old Engine,,,,,,,,,,,,,1052 
Snowdrop Escape,29:59 / Lyren,91 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,✓,?,,,,,,,,,,,,,,552 
Southernmost Combine,6:55.245 / Lyren,1052 days,3,★★★★☆,★★★☆☆,Ron's TDF tutorial,-,-,✓,✓,🞪,?,?,,,,,,,,,,,,,558 
Spherical Nightmares,9:27.090 / owerfloww,77 days,3,☆☆☆☆☆,☆☆☆☆☆,-,SourceRuns 6:05,-,✓,✓,🞪,?,,,,,,,,,,,,,,
Sudden Departure,15.75 / Lyren,552 days,1,★☆☆☆☆,★★☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,533 
Swelter,56:52 / Lyren,558 days,3,☆☆☆☆☆,★★☆☆☆,-,-,Trooper's 2024 marathon run,🞪,✓,✓,?,"Propclip, BBT",,,,,,,,,,,,,1380 
Terminal 7,19:44.400 / Lyren,533 days,2,★★★☆☆,★★☆☆☆,Untitled,-,Mr. Mary's 2018 marathon run,🞪,✓,🞪,?,?,,,,,,,,,,,,,546 
The 72-Second Experiment,14:18 / VehicleRonald,1380 days,5,★☆☆☆☆,★★★★☆,-,-,-,✓,🞪,🞪,?,?,,,,,,,,,,,,,
The Citizen,16:15 / Lyren,546 days,3,★★★★☆,★★☆☆☆,-,4:16.5 TAS by Rama,-,✓,✓,🞪,?,?,,,,,,,,,,,,,
The Citizen 2,10:27 / PenPerson,237 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,1383 
The Forgotten Journey Mod,18:50 / Lyren,323 days,2,☆☆☆☆☆,★★☆☆☆,-,The Gutter TAS in 28.635s,-,✓,✓,🞪,✓,,,,,,,,,,,,,,122 
The Lost City,1:04.815 / Lyren,1383 days,3,★★★★★,☆☆☆☆☆,-,Lyren's 52.875,-,✓,✓,🞪,?,,,,,,,,,,,,,,102 
